id,parsed_text,propaganda,language_code
17,"«Газовый сбой» угрожает миллионам рабочих мест 😱

Продолжаем следить за медленной и неотвратимой поступью немецкого трындеца. Бывший сенатор-эколог и эксперт по энергетике Гамбурга Фриц Варенхольт опасается миллионов безработных и эмиграции значительной части промышленности, если  энергетическая политика федерального правительства радикально не изменится.

❝

Нам, возможно, придется столкнуться с потерей шести миллионов рабочих мест.

❞

Иными словами, если российского газа не будет, то немцы не только замерзнут — все будет куда хуже! 😨

Варенхольт обосновал свою тревогу тем, что без достаточного газоснабжения, например, химической компании «БАСФ», согласно ее собственным заявлениям, придется закрыть производство в Людвигсхафене, что будет иметь последствия для всей производственно-снабженческой цепочки от производства стекла до выпекания хлеба.

Только частные домохозяйства, больницы, государственные учреждения в Германии гарантированно снабжаются газом — но не промышленность. Перебои в поставках газа в промышленности Германии будут угрожать рабочим местам практически во всех отраслях, а не только в сталелитейке и металлообработке. Это связано с тем, что изделия из стали и металлообработки, например, незаменимы для автопрома, машиностроения, техники безопасности и электротехнической промышленности.

Финальный аккорд плана Маршалла для Германии по факту оказался отложенным планом Моргентау. 😂

★ Канал #МОНТЯН!
­",t,rus
32,"Тинькофф с 23 июня введет плату за обслуживание счетов в иностранной валюте

Теперь владельцы карточных счетов в долларах США, евро, фунтах стерлингов и швейцарских франках обязаны платить ежемесячную комиссию. Ее размер по итогу составит 1% (12% годовых) при балансе свыше 1000 у.е. в валютном счете, уточняют в банке. 

В ближайшее время аналогичная практика будет распространена и на валюту, хранящуюся на брокерских счетах, однако она не затронет ценные бумаги, пояснили в кредитной организации. 

Кроме того, с 23 июня клиенты банка больше не смогут открыть накопительный счет в иностранной валюте — только в российских рублях, а существующие накопительные счета в долларах и евро будут закрыты банком. Накопления с них будут автоматически переведены на счета клиентов в этих же валютах, говорится в сообщении Тинькофф. До 30 июня банк отменил комиссию за SWIFT-переводы.

Ввели комиссию для уменьшения валютной позиции Тинькофф Банка. Кроме того «мера обусловлена ненадежностью зарубежных партнеров по работе с валютой для России», говорится в официальном сообщении. Тинькофф уже второй банк после Райффайзенбанка, пришедший к подобным мерам.",t,rus
97,Пора вам уже задуматься. Факты на лицо. 4 субъекта в составе России. Атаки отражаются легко. Потери Украины колоссальные. Страна перед США в больших долгах по поставке оружия. Дальше только хуже. Зима.,t,rus
1197,"Путіну треба зараз влізти у напіввідкриту ""квартирку можливостей"". Вона буде ""відкрита"" десь з середини листопада по березень, коли є ще можливість сподівань на енергетичну та економічну кризи у Європі, і можливість повалення європейських урядів через це.

Саме тому, йому лишається лише тиснути в сподіванні, що ця ""остання зима надій"" дасть можливість йому вирватись з пастки в яку себе загнав. Якщо він не зробить і Захід пройде зиму без пошуків компромісу, усі шанси на це помирають, за цей час і енергетичне питання буде вирішене, і бізнес почне вимушено знаходити інші ринки роботи, тож тиск на власні уряди перестане бути для нього актуальним.

Саме тому зараз оця гарячка. Мобілізація не вирішує військових проблем Росії. Згадайте коли ми оголосили загальну мобілізацію і коли змогли піти в масштабний наступ. У Росії не буде швидше, а ще зважте на те, що в нас зброя додавалась, хай і не швидкими темпами, а в них навпаки зброя та техніка нищиться, виходить з ладу, витрачається і навряд Іран та КНДР зможуть заткнути цю діру. 

Тактична ядерна зброя також не вирішує військових завдань. Можливе лише її терористичне використання, так само як і удари по критичній інфраструктурі. Це можливо, це треба розуміти, до цього треба готуватись. Хоча це буде радше крок відчаю, адже нічого не змінить в стратегічному плані. Тому Путіну лишається підіймати ставки і сподіватись, що ворог скаже пас.",f,ua
21,"❗️❗️Медведев о заявлении Зеленского по поводу того, что Киев не будет вести переговоры с Москвой  

«Некто Зеленский сказал, что он не будет вести диалог с теми, кто выдвигает ультиматумы. Нынешние «ультиматумы» – детская разминка перед требованиями будущего. И он их знает: тотальная капитуляция киевского режима на условиях России».",t,rus
25,"В Украине официально заявили, что ВСУ покинули Лисичанск",f,rus
134,добро пожаловать в каменный век.,f,rus
1205,"Щось мені здається вплив заяви Пугачової занадто переоцінюють. Я не буду кидати в неї шпильки, бо принаймні в них з Галкіним совісті явно більше ніж в усіляких Собачак і т.д. , а в Мордорі і це рідкість.

Але справа ось у чому: за винятком Арестовича, більшість для кого Пугачова «божество» є переважно споживачам олів‘є і телевізора. А по телевізору їм нічого не скажуть або скажуть як треба. Кінець кінцем замінять Газмановим та Надєждою Бабкіною, чи хто там в них. Тому цей месседж загубиться в розмовах тих, кому він не дуже і потрібний.

В цьому плані кліп Оксімірона і то важливіший, бо зроблений там і так, де сидить цільова аудиторія. А ось натяк на сепаратизм - оце справа. Свободну Інгрію треба підтримувати, а не «свободну Росію».   З цим би попрацювати, а не з ностальгуючими.

Що мене бентежить, це те, що вкотре заява російського діяча стала приводом не там де мала бути (на росії), а в нас. Це свідчить, що інформаційні поля ще не розірвано, ще забагато зв‘язків і не правильно сформульовані нарративи.

Як «обустроіть» Росію питання яке взагалі не цікаве, а ось які кордони майбутньої Інгерманландії і як сформувати бійців за її незалежність - ось це було б обговорювати.",f,ua
28,"В Молдавии запрещают трансляцию российских новостных программ — Майя Санду подписала закон, несмотря на протесты и обвинения в нарушении свободы слова

Президент Молдавии Майя Санду подписала закон, запрещающий трансляцию новостных программ из России. Как сообщила глава Совета по телевидению и радио Лилиана Вицу, он вступит в силу с 24 июня, а за его нарушение телекомпаниям грозятся лишением лицензии.

Таким образом, со следующей недели в стране прекратят вещание новостные и аналитические программы, а кроме того — российские военные фильмы.

Тем временем не всех жителей Молдавии устраивают происходящие изменения, люди выступают против политики Майи Санду — ее обвиняют в системном нарушении свободы слова и требуют кадровых переустановок в правительстве. Активисты также выходят к посольствам с призывами прекратить попытки евроинтеграции, обвинениями в использовании антироссийской риторики и втягивании страны в новый конфликт в Приднестровье.",f,rus
49,"❗️НАТО может обозначить Россию как непосредственную угрозу в новой стратегии, которую примут в июне — Bloomberg",f,rus
50,❗️Финляндия приняла официальное решение о вступлении в НАТО — заявление правительства,f,rus
1208,"Нам неминуче доведеться вирішувати питання Придністров‘я та Білорусі. Неминуче. Питання звісно коли і якими методами, але доведеться. 

Також чомусь губиться постійно конкретний факт: ми в стані війни з Білорусю. З території цієї країни скоєно напад на нашу країну і ведуться постійно обстріли. Білорусь сьогодні наш військовий супротивник. Будь-які військові дії проти неї є легитимні.

Єдине питання коли і як діяти, це вже буде політико- військове рішення керівництва держави. Але сподіваюсь усі рішення будуть націлені на те, щоб ліквідувати загрози національній безпеці України, яку становить сьогоднішня Білорусь, так само як Росія та Придністров’я.",f,ua
36,"Россия получит от экспорта энергоносителей на 20% больше доходов в 2022 году. С учетом экспорта металлов эта сумма превысит $285 млрд, что равно средствам, замороженным на зарубежных счетах — Bloomberg

«В начале марта, когда США и их союзники обрушили на Россию волну санкций, президент Джо Байден заявил, что хочет нанести “мощный удар по военной машине Путина”. По мере того, как военные действия на Украине приближаются к своему 100-му дню, эта машина все еще очень работоспособна», — отмечает агентство. 

По подсчетам экспертов, в будущем России может грозить рецессия. Однако пока ущерб можно игнорировать, ибо экспорт ресурсов в текущих условиях стал «еще более выгодным из-за скачка цен в результате конфликта на Украине» и санкций, указывает агентство.",t,rus
248,Иди нахуй русофоб ебаный,f,rus
1227,"В тимчасово окупованому Лисичанську завдано ураження по підрозділу батальйону ""ахмат"". 

Втрати окупантів склали понад 30 вбитими та до 15 осіб пораненими. Реальна кількість загиблих ретельно приховується ворогом.- Генштаб",f,ua
40,"США должны прекратить выдавать свои национальные интересы за международное право — Минобороны КНР

Как заявил представитель Министерства обороны КНР старший полковник У Цянь, мир больше никогда не будет моноцентричным, эпоха доминирования только одного вектора — закончилась бесповоротно.

«США должны прекратить выдавать свои домашние понятия за международные правила, преследование [целей] американской гегемонии также является ошибкой, призываем их объективно рассматривать и принять мирное развитие Китая. Это пойдет на благо глобальному миру и стабильности», — подчеркнул он.",t,rus
46,"‼️ От подписчика

А мне интересно, как долго мы протянем на нашем ура-патриотизме? Лично мой иссяк, когда я окончательно перестал понимать, за что гибнут наши парни на Украине. Да, в любой войне есть потери, но чтоб настолько бессмысленные!.. Только не надо мне писать тут, что они боролись с укронацизмом и угрозой НАТО. По факту они боролись с тупостью военного руководства, которое послало их на верную смерть. Есть на востоке Украины одно заколдованное место — Белогоровка. А в ней река Северский Донец, в которой с 9 по 11 мая утопили 73 единицы техники и две сотни наших парней. Бравые украинцы? Не без этого, раз у российского командования не хватает мозгов, чтобы форсировать реку. Наши строят строят переправу, а укропы их бомбят. И так по кругу. И так уже несколько раз. А кто об этом знает? Правильно! Те, кому похоронки приходят и кто не побоялся дать в морду руководителю бригады гвардии подполковнику Артамонову. Речь о 35-ой отдельной гвардейской мотострелковой бригаде, пункт постоянной дислокации которой находится в городе Алейск Алтайского края. Далековато от Кремля, правда? Но слушок из глубинки уже и туда дошел, что, ой, как много недовольного народа там. Еще больше — убитых горем родственников погибших и разъяренных, чьи сыновья еще живы и рассказали правду о происходящем. Как думаете, я к первым отношусь или ко вторым? Или может к тем, с чьего молчаливого согласия зажравшиеся военные морды отправляют на смерть молодых парней? А главное, все сильнее становится вопрос: зачем и ради чего? Нам все уже становится очевидно! Не чувствую, я знаю точно: гореть военкоматам и нефтебазам взрываться. И это только начало, да Артамонов?",t,rus
1236,"У Бундестазі закликали переглянути ланцюжки постачання боєприпасів через позицію Швейцарії, — DPA.

На тлі відмови Швейцарії задовольнити запит Берліна про реекспорт в Україну боєприпасів до Gepard, голова Бундестагу з оборони закликала до фундаментального перегляду ланцюгів постачання припасів.",f,ua
54,"Граждане, проживающие на территории Херсонской области, будут иметь право получения российского гражданства, сообщили местные СМИ со ссылкой на замглавы Херсонской ВГА Стремоусова",t,rus
55,"Москва готова обеспечить безопасный выход гражданских лиц с «Азовстали», украинские военные должны сдаться — Путин",t,rus
56,"❗️В районе КПП Кучурган на границе Приднестровья и Украины началась стрельба. Огонь ведется с украинской стороны — приднестровский телеканал ТСВ

«Источник в силовых ведомствах Приднестровья сообщил, что, действительно, беспорядочная стрельба происходила на территории Украины в районе села Павловка. Оно рядом с селом Кучурган, в районе железнодорожного моста, который взорвали 4 марта», — передает телеканал в соцсетях.",t,rus
58,"❗️Шария ожидает экстрадиция. Об этом заявляет издание ""Сегодня"" со ссылкой на источники в правоохранительных органах.

«Экстрадиция Шария состоится обязательно. Как правило, такое осуществляется в промежутке времени около двух недель-месяца».

Полиция Испании подтвердила задержание блогера Шария по ""международному ордеру""",t,rus
59,"Украина пребывает на новом этапе войны с Россией. Украинские военные уже не отступают, им удалось остановить наступление российских войск. На некоторых участках линии фронта украинские бойцы начали продвигаться вперед, а там где еще нет — ждут технику от Запада, чтобы начать вытеснять россиян - Владимир Зеленский",f,rus
60,"Негативная реакция израильского общества и руководства страны, которая последовала после слов министра иностранных дел РФ о евреях, привела к росту тех, кто склоняется к передаче Украине вооружений. Ранее подобные поставки, включая реэкспорт, блокировались.

На данный момент окончательного решения пока не принято. Haaretz сообщает, что власти склоняются к положительному решению.
В этом случае Киеву могут быть переданы разведывательные БПЛА, барражирующие боеприпасы, а также, что наиболее вероятно, ПТРК Spike NLOS.",t,rus
61,"В Херсоне перестали работать операторы мобильной связи Lifecell, Vodafone и «Киевстар» — киевские власти толкают регион к интеграции с Россией

По сообщениям жителей Херсонской области мобильная связь пропала не вследствие аварии, а была преднамеренно отключена украинскими компаниями мобильной связи.

Очевидно, раз с завтрашнего дня Херсон становится рублевой зоной, то после демарша украинских операторов, администрации региона не остается ничего другого, как начать сотрудничать с российскими и донецкими компаниями.",t,rus
62,"Путин подписал Указ о выплате по 10 000 рублей инвалидам и участникам Великой Отечественной войны, проживающим в ДНР, ЛНР и на территориях Украины, которые сейчас находятся под контролем России",t,rus
427,"Киевская область, к сожалению, есть прилеты.",f,rus
429,"Киев, взрывы.",f,rus
1252,"Вибухи на Дніпропетровщині, попередньо — робота ППО.",f,ua
64,"Диалог России и США по стратегической стабильности заморожен до окончания СВО — МИД РФ

«К диалогу с Соединенными Штатами по стратегической стабильности получится вернуться после выполнения задач спецоперации РФ на Украине», — пояснили в министерстве.",t,rus
66,"‼️Годовая инфляция в РФ в 2022 составит 18,0-23,0%. Спад ВВП РФ в 2022 составит 8-10% – Центрбанк России",t,rus
67,"Палата представителей США поддержала активирование программы ленд-лиза, которая позволит ускорить оказание военной помощи Украине.",f,rus
68,"Белый дом США сообщает, что президент Джо Байден сегодня представит инициативу, которая позволит изымать активы российских предпринимателей и направлять их на нужды Украины.

Заявлено, что предложения Байдена разрешат арест собственности, используемой бизнесменами РФ для обхода санкций, что до сих пор не позволяли законы США.",f,rus
69,"⚡️В Приднестровском селе Колбасна стрельба в районе складов с российскими боеприпасами, которые охраняют российские военные. Жертв нет.  Выясняем подробности.",f,rus
70,"Россия всё же официально прекращает поставки газа в Польшу

Польская нефтегазовая компания PGNIG получила уведомление от «Газпрома» о том, что с утра 27 апреля поставка российского природного газа будет полностью остановлена через все точки входа российского газа в Польшу.

Ранее «Газпром» это отрицал. При этом в российской компании заявили, что 26 апреля Польша обязана заплатить за поставки газа по новым правилам — в российских рублях. Варшава это делать отказалась.",t,rus
71,Президент России Владимир Путин принял предложение генсека ООН о посредничестве организации и МККК в организации гуманитарных коридоров в Мариуполе.,t,rus
72,"❗️Ключевые тезисы президента РФ на его встрече с Генсеком ООН Гуттеришем:

▪️ «РФ начала специальную военную операцию в соответствии с уставом ООН».

▪️ «РФ рассчитывает достичь договоренностей на дипломатическом треке».

▪️ «На переговорах РФ и Украины в Стамбуле был серьезный прорыв, но затем РФ столкнулась с провокацией в Буче».

▪️ «Армия РФ не имеет отношения к событиям в Буче, Москва знает, кто стоит за этой провокацией».

▪️ «Украина предложила обсуждать вопросы Крыма и Донбасса на уровне глав государств, но без договоренностей по безопасности решений не достичь».

Ключевые тезисы самого Генсека ООН Гуттериша не встрече с президентом РФ:

▪️ «Мы считаем, что произошло вторжение на территорию Украины».

▪️ «Я понимаю, что у РФ есть претензии по темам Украины и европейской и глобальной безопасности, но их надо решать на основе Устава ООН».

▪️ «Мы предлагаем создать контактную группу ООН-РФ-Украина по гуманитарным коридорам. ООН готова за два-три дня провести оценку ситуации на «Азовстали» для организации эвакуации гражданских лиц и стать гарантом их эвакуации людей из Мариуполя».",f,rus
